Scientific Name,Common Name,Class,Order,No. of Observations,Date of Observation,Status,Decimal Latitude,Decimal Longitude
Callocephalon fimbriatum,Gang-gang Cockatoo,Aves,Psittaciformes,1.0,2016-11-01,Endangered; Vulnerable; Sensitive (Generalised GPS); Habitat (tree hollow),-36.56,149.39
Ninox strenua,Powerful Owl,Aves,Strigiformes,2.0,1992-03-01,Vulnerable; Sensitive (Generalised GPS); Habitat (tree hollow),-36.56,149.44
Ninox strenua,Powerful Owl,Aves,Strigiformes,2.0,1992-04-12,Vulnerable; Sensitive (Generalised GPS); Habitat (tree hollow),-36.56,149.44
Tyto tenebricosa,Sooty Owl,Aves,Strigiformes,1.0,2008-02-19,Vulnerable; Sensitive (Generalised GPS); Habitat (tree hollow),-36.56,149.42
