scientificName,vernacularName,kingdom,phylum,class,order,family,genus,eventDate,year,month,day,decimalLatitude,decimalLongitude,dataResourceName,dataGeneralizations,habitat,occurrenceRemarks,basisOfRecord,individualCount,class_display,class_description,at_risk_status,habitat_type
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.556637,149.397863,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,4.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.548331,149.414194,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.549027,149.413211,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,2025-10-20 00:00:00,2025.0,10.0,20.0,-36.560074,149.43756,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.554421,149.396007,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.553674,149.401793,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.553674,149.401793,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Petaurus australis,Yellow-bellied Glider,Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus,2008-02-13 00:00:00,2008.0,2.0,13.0,-36.557506,149.428824,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.553674,149.401793,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.553674,149.401793,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.549027,149.413211,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,2017-07-09 00:00:00,2017.0,,,-36.560138,149.426192,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.555516,149.397605,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,3.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.556637,149.397863,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Petroica (Littlera) phoenicea,Flame Robin,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,2025-12-28 00:00:00,2025.0,12.0,28.0,-36.558703,149.428641,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Aves,birds,,
Macropus giganteus,Eastern Grey Kangaroo,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.55083,149.413211,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.553674,149.401793,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Corvus coronoides,Australian Raven,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,2014-03-11 00:00:00,2014.0,3.0,11.0,-36.544547,149.422588,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Aves,birds,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.549027,149.413211,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.555516,149.397605,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,3.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.555516,149.397605,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,3.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.556637,149.397863,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,7.0,Mammalia – other,other mammals,,
Trichosurus vulpecula,Common Brushtail Possum,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.551863,149.404474,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,2025-01-02 00:00:00,2025.0,1.0,2.0,-36.56348,149.435931,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.55083,149.413211,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,2025-12-31 00:00:00,2025.0,12.0,31.0,-36.544434,149.420402,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,2026-01-04 00:00:00,2026.0,1.0,4.0,-36.553988,149.418143,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petroica (Littlera) phoenicea,Flame Robin,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,2025-12-28 00:00:00,2025.0,12.0,28.0,-36.560676,149.421,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Aves,birds,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.549027,149.413211,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.552465,149.403655,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Sus scrofa,Pig,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.549027,149.413211,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.554874,149.402612,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,3.0,Mammalia – other,other mammals,,
Oryctolagus cuniculus,Rabbit,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.556917,149.404128,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.552465,149.403655,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.554874,149.402612,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,5.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.553674,149.401793,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1900-01-01 00:00:00,,,,-36.555516,149.397605,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1900-01-01 00:00:00,,,,-36.55581,149.403144,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.551863,149.404474,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,3.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.553674,149.401793,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Bos (Bos) taurus,European Cattle,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.553674,149.401793,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.561146,149.400014,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.551863,149.404474,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.556637,149.397863,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,4.0,Mammalia – other,other mammals,,
Vulpes vulpes,Fox,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.555516,149.397605,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Trichosurus vulpecula,Common Brushtail Possum,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,1900-01-01 00:00:00,,,,-36.556637,149.397863,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Trichosurus vulpecula,Common Brushtail Possum,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.551863,149.404474,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.545974,149.417081,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.555516,149.397605,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,3.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.546722,149.415764,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.551863,149.404474,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,3.0,Mammalia – other,other mammals,,
Macropus giganteus,Eastern Grey Kangaroo,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.55083,149.413211,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Trichosurus vulpecula,Common Brushtail Possum,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.551863,149.404474,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.548331,149.414194,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.554874,149.402612,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,5.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.545974,149.417081,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1900-01-01 00:00:00,,,,-36.555516,149.397605,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,3.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,2026-01-01 00:00:00,2026.0,1.0,1.0,-36.557876,149.425352,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.551863,149.404474,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.548331,149.414194,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.551863,149.404474,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,3.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.551863,149.404474,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,3.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.554874,149.402612,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,5.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.552465,149.403655,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.548331,149.414194,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.548331,149.414194,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.555516,149.397605,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Macropus giganteus,Eastern Grey Kangaroo,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.55083,149.413211,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.551863,149.404474,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Oryctolagus cuniculus,Rabbit,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.556917,149.404128,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.553674,149.401793,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.55581,149.403144,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.548331,149.414194,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.555516,149.397605,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,3.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.556637,149.397863,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Oryctolagus cuniculus,Rabbit,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.556917,149.404128,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Trichosurus vulpecula,Common Brushtail Possum,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.551863,149.404474,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.556917,149.404128,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,2003-09-17 00:00:00,2003.0,9.0,17.0,-36.559477,149.440013,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.55581,149.403144,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.555516,149.397605,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,3.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.552465,149.403655,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.561146,149.400014,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,2003-09-17 00:00:00,2003.0,9.0,17.0,-36.558606,149.440712,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.549027,149.413211,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Petauroides volans,Southern Greater Glider,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petauroides,2026-01-02 00:00:00,2026.0,1.0,2.0,-36.558632,149.398416,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Wallabia bicolor,Swamp Wallaby,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Wallabia,1994-08-30 00:00:00,1994.0,8.0,30.0,-36.555516,149.397605,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,2.0,Mammalia – other,other mammals,,
Bos (Bos) taurus,European Cattle,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.553674,149.401793,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
Vombatus ursinus,Bare-nosed Wombat,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,1900-01-01 00:00:00,,,,-36.556637,149.397863,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,4.0,Mammalia – other,other mammals,,
Bos (Bos) taurus,European Cattle,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,1994-09-05 00:00:00,1994.0,9.0,5.0,-36.553674,149.401793,NSW BioNet Atlas,,,occurrenceRemarks withheld,HUMAN_OBSERVATION,1.0,Mammalia – other,other mammals,,
