scientific_name,common_name,most_recent_date,iucn_status,average_mass_g,primary_habitat,primary_diet,migratory,nest_type,nest_site
Monarcha melanopsis,Black-faced Monarch,2024-12-19,LC,23.866666666666664,Forest,Invertebrate,2.0,Cup / bowl,Tree
Nesoptilotis leucotis,White-eared Honeyeater,2025-11-10,LC,23.8,Shrub,Invertebrate,,Cup / bowl,"Shrub / bush / vine, Tree, Grass"
Ninox novaeseelandiae,Southern Boobook,2025-11-27,LC,155.0,Forest,Invertebrate,,Cavity (tree),"Ground, Tree"
Ninox strenua,Powerful Owl,1992-04-12,LC,1463.75,Forest,Vertebrate,,Cavity (tree),Tree
Pachycephala rufiventris,Rufous Whistler,2025-11-10,LC,20.7,Forest,Invertebrate,2.0,Cup / bowl,Tree
Pardalotus punctatus,Spotted Pardalote,2025-11-10,LC,10.066666666666666,Forest,Invertebrate,,Dome / oven,Ground
Petroica boodang,Scarlet Robin,2025-11-10,LC,11.25,Forest,Invertebrate,,Cup / bowl,Tree
Petroica phoenicea,Flame Robin,2025-12-28,LC,12.966666666666667,Shrub,Invertebrate,1.0,Cup / bowl,
Platycercus elegans,Crimson Rosella,2025-12-23,LC,128.66666666666666,Forest,Herbivore,,Cavity (tree),"Building, Tree"
Psophodes olivaceus,Eastern Whipbird,2008-02-11,LC,68.25,Forest,Invertebrate,,Cup / bowl,Shrub / bush / vine
Ptilonorhynchus violaceus,Satin Bowerbird,2025-12-14,LC,222.75,Forest,Fruit,,Half cup / shallow,"Shrub / bush / vine, Tree"
Rhipidura albiscapa,Grey Fantail,2025-11-10,LC,8.433333333333334,Forest,Invertebrate,1.0,Cup / bowl,"Shrub / bush / vine, Tree"
Rhipidura rufifrons,Rufous Fantail,2024-12-19,LC,10.4,Forest,Invertebrate,,Cup / bowl,Shrub / bush / vine
Sericornis frontalis,White-browed Scrubwren,2025-12-20,LC,12.88,Shrub,Invertebrate,,Dome / oven,"Building, Ground, Shrub / bush / vine, Tree, Grass"
Strepera graculina,Pied Currawong,2014-03-11,LC,302.75,Forest,Omnivore,2.0,Half cup / shallow,Tree
Strepera versicolor,Grey Currawong,2025-12-23,LC,415.0,Forest,Carnivore,,Half cup / shallow,Tree
Todiramphus sanctus,Sacred Kingfisher,2025-11-10,LC,45.0,Woodland,Invertebrate,1.0,"Burrow, Cavity (tree)","Building, Ground, Nest, Tree"
Tyto javanica,Eastern Barn Owl,2025-11-11,,417.8333333333333,Grassland,Vertebrate,,Cavity (tree),"Building, Rock, Tree"
Tyto tenebricosa,Sooty Owl,2008-02-19,LC,767.5,Forest,Vertebrate,,No nest,"Rock, Tree"
Zoothera lunulata,Bassian Thrush,2014-03-11,LC,114.0,Forest,Invertebrate,,Cup / bowl,"Stump, Shrub / bush / vine, Tree"
