scientificName,vernacularName,class,order,family,eventDate
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,2025-12-28
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,2025-12-28
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,2025-12-28
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,2025-12-28
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,2025-12-28
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,2025-12-28
Petroica (Littlera) phoenicea,Flame Robin,Aves,Passeriformes,Petroicidae,2025-12-28
Sericornis (Sericornis) frontalis,White-browed Scrubwren,Aves,Passeriformes,Acanthizidae,2014-03-11
Sericornis (Sericornis) frontalis,White-browed Scrubwren,Aves,Passeriformes,Acanthizidae,2025-12-20
Platycercus (Platycercus) elegans,Crimson Rosella,Aves,Psittaciformes,Psittacidae,2014-03-11
Platycercus (Platycercus) elegans,Crimson Rosella,Aves,Psittaciformes,Psittacidae,2025-12-23
Ninox (Ninox) novaeseelandiae,Southern Boobook,Aves,Strigiformes,Strigidae,2008-02-12
Ninox (Ninox) novaeseelandiae,Southern Boobook,Aves,Strigiformes,Strigidae,2008-02-13
Ninox (Ninox) novaeseelandiae,Southern Boobook,Aves,Strigiformes,Strigidae,2014-03-11
Ninox (Ninox) novaeseelandiae,Southern Boobook,Aves,Strigiformes,Strigidae,2024-12-19
